department,client_name,demo,pop_est,prank_filter,values,demo_num
alexandriapd,"Alexandria,  La.",Less than 45k,est,0 to 10th,0.26536885245901637,4
alexandriapd,"Alexandria,  La.",Between 75 and 100k,est,0 to 10th,0.16854508196721313,3
alexandriapd,"Alexandria,  La.",Between 120 and 150k,est,0 to 10th,0.05225409836065574,2
alexandriapd,"Alexandria,  La.",Greater than 200k,est,0 to 10th,0.08862704918032786,1
alexandriapd,"Alexandria,  La.",Less than 45k,est,10th to 20th,0.4781725888324873,4
alexandriapd,"Alexandria,  La.",Between 75 and 100k,est,10th to 20th,0.0532994923857868,3
alexandriapd,"Alexandria,  La.",Between 120 and 150k,est,10th to 20th,0.0868020304568528,2
alexandriapd,"Alexandria,  La.",Greater than 200k,est,10th to 20th,0.0817258883248731,1
alexandriapd,"Alexandria,  La.",Less than 45k,est,20th to 30th,0.3907129455909944,4
alexandriapd,"Alexandria,  La.",Between 75 and 100k,est,20th to 30th,0.1449343339587242,3
alexandriapd,"Alexandria,  La.",Between 120 and 150k,est,20th to 30th,0.0698874296435272,2
alexandriapd,"Alexandria,  La.",Greater than 200k,est,20th to 30th,0.027204502814258912,1
alexandriapd,"Alexandria,  La.",Less than 45k,est,30th to 40th,0.5857805255023184,4
alexandriapd,"Alexandria,  La.",Between 75 and 100k,est,30th to 40th,0.0571870170015456,3
alexandriapd,"Alexandria,  La.",Between 120 and 150k,est,30th to 40th,0.03863987635239567,2
alexandriapd,"Alexandria,  La.",Greater than 200k,est,30th to 40th,0.05100463678516229,1
alexandriapd,"Alexandria,  La.",Less than 45k,est,40th to 50th,0.5275177836016474,4
alexandriapd,"Alexandria,  La.",Between 75 and 100k,est,40th to 50th,0.08910520404342943,3
alexandriapd,"Alexandria,  La.",Between 120 and 150k,est,40th to 50th,0.04380381879445901,2
alexandriapd,"Alexandria,  La.",Greater than 200k,est,40th to 50th,0.03444402845376263,1
alexandriapd,"Alexandria,  La.",Less than 45k,est,50th to 60th,0.6933240611961057,4
alexandriapd,"Alexandria,  La.",Between 75 and 100k,est,50th to 60th,0.09735744089012517,3
alexandriapd,"Alexandria,  La.",Between 120 and 150k,est,50th to 60th,0.015994436717663423,2
alexandriapd,"Alexandria,  La.",Greater than 200k,est,50th to 60th,0.024339360222531293,1
alexandriapd,"Alexandria,  La.",Less than 45k,est,60th to 70th,0.6682279469164715,4
