department,client_name,demo,pop_est,prank_filter,values,demo_num
alexandriapd,"Alexandria,  La.",Asian,est,0 to 10th,0.0055248618784530384,3
alexandriapd,"Alexandria,  La.",African American,est,0 to 10th,0.38623807132094423,1
alexandriapd,"Alexandria,  La.",Latino,est,0 to 10th,0.011719403984597355,2
alexandriapd,"Alexandria,  La.",White,est,0 to 10th,0.5742507952452703,4
alexandriapd,"Alexandria,  La.",Asian,est,10th to 20th,0.007845503922751962,3
alexandriapd,"Alexandria,  La.",African American,est,10th to 20th,0.3544558438945886,1
alexandriapd,"Alexandria,  La.",Latino,est,10th to 20th,0.04868235767451217,2
alexandriapd,"Alexandria,  La.",White,est,10th to 20th,0.5817742908871455,4
alexandriapd,"Alexandria,  La.",Asian,est,20th to 30th,0.04584006462035541,3
alexandriapd,"Alexandria,  La.",African American,est,20th to 30th,0.29382067851373184,1
alexandriapd,"Alexandria,  La.",Latino,est,20th to 30th,0.02988691437802908,2
alexandriapd,"Alexandria,  La.",White,est,20th to 30th,0.5953150242326333,4
alexandriapd,"Alexandria,  La.",Asian,est,30th to 40th,0.033637954501263855,3
alexandriapd,"Alexandria,  La.",African American,est,30th to 40th,0.5597900058331713,1
alexandriapd,"Alexandria,  La.",Latino,est,30th to 40th,0.009138635037915614,2
alexandriapd,"Alexandria,  La.",White,est,30th to 40th,0.3433793505735952,4
alexandriapd,"Alexandria,  La.",Asian,est,40th to 50th,0.033413525795241913,3
alexandriapd,"Alexandria,  La.",African American,est,40th to 50th,0.5070836674685912,1
alexandriapd,"Alexandria,  La.",Latino,est,40th to 50th,0.005747126436781609,2
alexandriapd,"Alexandria,  La.",White,est,40th to 50th,0.43491045175086873,4
alexandriapd,"Alexandria,  La.",Asian,est,50th to 60th,0,3
alexandriapd,"Alexandria,  La.",African American,est,50th to 60th,0.7012306886619534,1
alexandriapd,"Alexandria,  La.",Latino,est,50th to 60th,0.02670856245090338,2
alexandriapd,"Alexandria,  La.",White,est,50th to 60th,0.2631578947368421,4
alexandriapd,"Alexandria,  La.",Asian,est,60th to 70th,0.013082583810302535,3
alexandriapd,"Alexandria,  La.",African American,est,60th to 70th,0.7218315617334423,1
alexandriapd,"Alexandria,  La.",Latino,est,60th to 70th,0.028454619787408014,2
alexandriapd,"Alexandria,  La.",White,est,60th to 70th,0.20752248569092396,4
alexandriapd,"Alexandria,  La.",Asian,est,70th to 80th,0.04242693962320131,3
alexandriapd,"Alexandria,  La.",African American,est,70th to 80th,0.5554072096128171,1
alexandriapd,"Alexandria,  La.",Latino,est,70th to 80th,0.08248034416258715,2
alexandriapd,"Alexandria,  La.",White,est,70th to 80th,0.315086782376502,4
alexandriapd,"Alexandria,  La.",Asian,est,80th to 90th,0.0176678445229682,3
alexandriapd,"Alexandria,  La.",African American,est,80th to 90th,0.5243816254416961,1
alexandriapd,"Alexandria,  La.",Latino,est,80th to 90th,0.04187279151943463,2
alexandriapd,"Alexandria,  La.",White,est,80th to 90th,0.39558303886925794,4
alexandriapd,"Alexandria,  La.",Asian,est,90th to 100th,0.018884892086330936,3
alexandriapd,"Alexandria,  La.",African American,est,90th to 100th,0.6345923261390888,1
alexandriapd,"Alexandria,  La.",Latino,est,90th to 100th,0.009442446043165468,2
alexandriapd,"Alexandria,  La.",White,est,90th to 100th,0.32464028776978415,4
birminghampd,"Birmingham, Ala.",Asian,est,0 to 10th,0.013621776890105698,3
birminghampd,"Birmingham, Ala.",African American,est,0 to 10th,0.272772155023451,1
birminghampd,"Birmingham, Ala.",Latino,est,0 to 10th,0.03601804268306367,2
birminghampd,"Birmingham, Ala.",White,est,0 to 10th,0.6543838782792127,4
birminghampd,"Birmingham, Ala.",Asian,est,10th to 20th,0.01578049100695812,3
birminghampd,"Birmingham, Ala.",African American,est,10th to 20th,0.4453459367204936,1
